"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1164","has title","firefox","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","5897","has title","webkit","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","362","has title","chromium","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","497","get started link","chromium","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","1353","get started link","webkit","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","854","get started link","firefox","2026-02-06","passed","2026-02-06","","example.spec.js","",""
